hr,sent_num
102,N
102,N
102,N
101,N
101,N
93,P
93,P
91,P
90,P
90,P
90,P
95,P
95,P
95,P
95,P
95,P
95,P
94,P
95,P
95,P
107,P
106,P
105,P
106,P
105,P
106,P
104,P
109,P
108,P
106,P
104,P
102,P
100,P
99,P
100,P
102,P
99,P
100,P
96,P
95,P
91,P
93,P
94,P
92,P
89,P
91,P
92,P
103,P
103,P
103,P
107,P
108,P
107,P
103,P
101,P
101,P
101,P
101,P
101,P
97,P
98,P
98,P
89,P
89,P
94,N
89,N
89,N
89,N
90,N
91,P
91,P
91,P
94,P
87,P
87,P
87,P
87,P
87,P
96,P
96,P
97,P
96,P
96,P
93,P
87,N
87,N
87,N
88,N
89,N
90,P
89,P
88,P
87,P
86,P
86,P
101,P
101,P
102,P
100,P
100,P
84,P
84,P
84,P
85,P
85,P
105,P
105,P
105,P
105,P
105,P
103,P
102,N
101,N
101,N
101,N
101,N
106,P
105,P
105,P
105,P
105,P
88,P
89,P
90,P
91,P
90,P
91,P
96,P
105,N
105,N
104,N
104,N
104,N
104,N
95,N
95,N
95,N
95,N
92,P
92,P
92,P
92,P
92,P
86,P
86,P
86,P
87,P
87,P
88,P
88,P
90,P
89,P
89,P
99,P
98,P
96,P
95,P
95,P
95,P
92,N
91,N
90,N
90,N
88,N
86,N
83,N
82,N
81,N
80,N
80,N
80,N
81,N
110,P
105,P
103,P
102,P
102,P
100,P
99,P
90,P
91,P
91,P
91,P
92,P
91,P
89,P
90,P
81,P
81,P
80,P
80,P
80,P
79,P
81,P
80,P
79,P
80,P
80,P
91,P
91,P
91,P
91,P
91,P
81,N
81,N
81,N
81,N
83,N
83,N
83,N
83,N
103,P
102,P
102,P
100,P
100,P
99,P
98,P
96,P
92,P
90,P
90,P
90,P
90,P
90,N
90,N
90,N
90,N
90,N
81,N
81,N
81,N
82,N
77,N
77,N
78,N
78,N
92,P
92,P
91,P
88,P
87,P
87,N
85,N
85,N
86,N
87,N
91,P
92,P
92,P
92,P
91,P
91,P
92,P
93,P
93,P
97,P
97,P
96,P
96,P
96,P
96,P
96,P
95,P
95,P
95,P
95,P
95,P
94,P
95,P
131,N
131,N
131,N
130,N
87,P
87,P
87,P
87,P
87,P
86,P
86,P
86,P
86,P
75,P
75,P
75,P
75,P
75,P
82,P
82,P
82,P
82,P
82,P
87,N
87,N
87,N
86,N
86,N
92,P
91,P
92,P
92,P
90,P
90,N
90,N
90,N
90,N
91,N
87,P
87,P
87,P
87,P
87,P
80,P
80,P
82,P
82,P
82,P
113,P
110,P
106,P
103,P
102,P
102,P
100,P
101,P
100,P
100,P
100,P
103,P
108,P
106,P
108,P
108,P
108,P
104,P
121,N
121,N
121,N
121,N
119,N
118,N
103,P
103,P
103,P
102,P
102,P
102,P
103,P
103,P
102,P
102,P
101,P
101,P
102,P
111,P
113,P
112,P
111,P
109,P
110,P
108,P
108,P
93,N
93,N
93,N
93,N
83,P
83,P
83,P
83,P
83,P
93,P
93,P
92,P
92,P
91,P
84,N
84,N
85,N
84,N
90,N
85,P
85,P
84,P
84,P
84,P
121,P
119,P
116,P
115,P
114,P
117,P
119,P
119,P
110,P
107,P
104,P
104,P
104,P
95,P
95,P
94,P
94,P
94,P
108,P
107,P
105,P
105,P
105,P
105,P
105,P
97,P
97,P
97,P
96,P
95,P
80,P
80,P
81,P
81,P
86,P
74,P
75,P
77,P
75,P
75,P
76,P
103,P
105,P
109,P
107,P
109,P
110,P
111,P
111,P
109,P
108,P
113,N
111,N
111,N
111,N
111,N
94,P
93,P
93,P
93,P
94,P
94,P
94,P
94,P
95,N
94,N
94,N
94,N
94,N
98,P
96,P
94,P
94,P
95,P
94,P
99,P
97,P
98,P
97,P
96,P
97,P
98,P
97,P
97,P
98,P
95,P
96,P
81,P
82,P
83,P
83,P
83,P
97,N
97,N
96,N
94,N
92,N
90,N
84,P
84,P
84,P
84,P
84,P
85,N
85,N
85,N
85,N
86,N
81,N
81,N
81,N
81,N
103,P
102,P
101,P
100,P
99,P
98,P
110,N
110,N
112,N
111,N
112,N
111,N
110,N
111,N
113,N
114,N
117,N
119,N
89,P
88,P
87,P
86,P
86,P
94,P
94,P
93,P
93,P
93,P
94,P
94,P
94,P
94,P
94,P
85,P
85,P
85,P
85,P
101,P
101,P
100,P
100,P
96,P
97,P
96,P
94,P
93,P
94,P
99,P
101,P
100,P
88,P
88,P
87,P
87,P
87,P
87,P
91,P
91,P
91,P
91,P
91,P
92,P
96,P
112,P
112,P
114,P
115,P
112,P
112,P
102,P
101,P
104,P
105,P
105,P
104,P
104,P
100,P
100,P
100,P
103,P
103,P
103,P
107,P
107,P
108,P
111,P
109,P
110,P
105,N
105,N
105,N
105,N
104,N
104,N
100,P
100,P
98,P
98,P
100,P
101,P
102,P
93,P
93,P
93,P
93,P
94,P
94,P
93,P
102,P
102,P
102,P
103,P
102,P
99,N
98,N
98,N
98,N
98,N
98,P
98,P
98,P
98,P
98,P
96,P
96,N
96,N
96,N
96,N
97,N
97,N
93,N
94,N
100,P
99,P
99,P
99,P
99,P
90,N
90,N
91,N
89,N
89,N
104,P
100,P
103,P
104,P
105,P
106,P
108,P
110,P
109,P
108,P
109,P
107,P
106,P
106,P
102,P
100,P
104,N
102,N
101,N
101,N
102,N
102,N
109,P
108,P
108,P
109,P
110,P
108,P
103,P
103,P
103,P
103,P
103,P
104,P
102,N
101,N
102,N
103,N
103,N
103,N
113,N
112,N
112,N
110,N
109,N
108,N
107,N
95,N
95,N
95,N
95,N
102,N
102,N
102,N
103,N
105,N
104,N
102,N
100,P
100,P
100,P
100,P
100,P
88,P
88,P
88,P
88,P
95,P
96,P
96,P
96,P
96,P
93,P
93,P
93,P
93,P
92,P
92,P
91,P
91,P
91,P
91,P
89,P
99,P
98,P
98,P
98,P
98,P
94,P
94,P
94,P
94,P
93,P
103,P
102,P
102,P
103,P
104,P
104,P
105,P
97,P
97,P
97,P
96,P
95,P
88,P
81,P
81,P
78,P
77,P
77,P
79,P
75,P
75,P
75,P
75,P
81,P
81,P
90,P
91,P
91,P
74,N
76,N
76,N
75,N
77,N
77,N
79,P
79,P
79,P
80,P
60,P
61,P
63,P
64,P
64,P
71,P
72,P
68,P
70,P
70,P
70,P
71,P
78,P
79,P
76,P
73,P
73,P
73,P
84,N
84,N
79,N
80,N
79,N
79,N
69,P
69,P
61,P
67,P
71,P
71,P
94,P
94,P
94,P
94,P
95,P
91,P
77,P
78,P
78,P
73,P
83,N
82,N
82,N
78,N
69,N
69,N
82,P
82,P
82,P
82,P
83,N
84,N
67,N
68,N
88,N
88,N
88,N
92,P
91,P
85,P
84,P
85,P
87,P
87,N
87,N
87,N
87,N
88,N
83,N
84,N
85,N
85,N
104,N
104,N
104,N
103,N
103,N
94,P
94,P
94,P
94,P
93,P
93,N
93,N
92,N
91,N
91,N
91,N
87,N
87,N
86,N
87,N
93,N
86,P
86,P
86,P
86,P
86,P
89,P
88,P
88,P
88,P
88,P
87,P
87,P
87,P
91,P
90,P
89,P
89,N
89,N
89,N
89,N
89,N
102,P
101,P
101,P
101,P
101,P
96,P
96,P
96,P
97,P
