hr,steps,gsr,calories,temp,sent_num
100.0,100,0.00170467,2.8,89.6,P
101.0,0,0.011895399999999999,2.8,89.6,P
99.0,79,8.34751e-05,2.9,90.5,P
96.0,0,0.142789,2.5,90.5,P
112.0,0,0.00268381,4.2,91.4,P
95.0,0,0.000120284,2.4,91.4,P
103.0,0,0.0007941669999999999,3.1,88.7,P
103.0,0,0.000106494,3.0,88.7,P
104.0,0,10.8864,3.0,88.7,N
101.0,0,0.00188325,2.8,89.6,P
105.0,0,0.00025114099999999997,3.8,89.6,P
89.0,0,6.91556e-05,2.0,87.8,P
91.0,12,6.32945e-05,2.2,89.6,P
87.0,0,0.000145997,1.8,88.7,N
92.0,0,8.871540000000001e-05,2.2,89.6,P
86.0,0,6.80167e-05,1.8,90.5,P
95.0,0,0.000153454,2.3,88.7,P
96.0,0,6.65274e-05,2.5,90.5,N
96.0,0,6.15669e-05,2.2,88.7,P
89.0,0,5.89002e-05,2.0,89.6,N
89.0,0,5.76104e-05,2.0,88.7,P
90.0,0,5.82517e-05,2.1,89.6,P
92.0,0,6.65274e-05,2.3,90.5,P
87.0,0,0.00012573,2.0,90.5,N
95.0,0,0.00110698,2.3,81.5,P
94.0,0,0.0464215,2.2,88.7,P
94.0,0,0.038245999999999995,2.1,89.6,P
117.0,18,0.0016859000000000002,7.2,87.8,P
87.0,4,0.00065069,2.0,86.9,P
101.0,0,0.0040648,2.6,90.5,P
95.0,0,0.00047201199999999995,2.3,88.7,P
99.0,0,6.39991e-05,2.5,89.6,N
95.0,0,6.25977e-05,2.3,91.4,N
92.0,0,5.9555799999999997e-05,1.9,88.7,P
93.0,115,7.10962e-05,2.8,90.5,N
107.0,0,0.259602,4.5,92.3,P
104.0,0,0.190412,3.0,93.2,P
103.0,0,0.7108909999999999,3.2,84.2,P
97.0,0,0.0342381,2.6,84.2,P
104.0,0,7.39049e-05,2.9,92.3,P
107.0,0,0.00201258,3.3,93.2,P
100.0,0,0.0877322,2.8,80.6,P
100.0,0,0.14843,2.8,90.5,P
100.0,0,0.000122298,2.8,90.5,N
102.0,0,0.000151764,3.2,83.3,P
94.0,0,0.00417886,2.4,87.8,P
91.0,0,0.130687,2.2,90.5,P
85.0,0,0.00025393599999999996,1.8,86.9,P
96.0,0,0.00424883,2.6,86.9,P
91.0,0,5.72925e-05,2.0,89.6,N
92.0,0,5.66617e-05,2.3,87.8,N
103.0,11,0.00318618,3.2,87.8,P
119.0,0,0.000703117,8.8,92.3,P
107.0,0,0.60883,4.1,89.6,P
105.0,0,0.132876,3.1,93.2,P
107.0,0,0.00096928,3.8,90.5,P
125.0,42,1.9575,9.8,86.9,P
104.0,0,0.25112199999999996,3.1,91.4,P
102.0,0,1.4598200000000001,2.9,90.5,N
101.0,0,0.420184,2.8,90.5,P
103.0,0,0.0176218,2.9,89.6,N
102.0,0,0.08255,2.7,89.6,P
89.0,0,0.0100199,2.0,88.7,P
93.0,0,6.76328,2.2,89.6,P
99.0,0,0.051284800000000005,2.7,88.7,P
102.0,0,8.92078e-05,2.9,90.5,P
96.0,0,7.39049e-05,2.4,91.4,N
93.0,0,0.00958586,2.3,90.5,P
89.0,0,0.000215085,1.9,90.5,N
81.0,0,5.48109e-05,1.6,85.1,P
94.0,0,6.50707e-05,2.3,82.4,P
92.0,0,5.6349e-05,2.1,87.8,N
96.0,0,5.76104e-05,2.4,88.7,P
86.0,0,5.79302e-05,1.8,89.6,N
94.0,0,5.6349e-05,2.4,87.8,P
91.0,0,5.69762e-05,2.1,88.7,P
95.0,0,5.72925e-05,2.3,89.6,P
89.0,0,5.60379e-05,2.0,86.9,N
89.0,0,5.76104e-05,1.9,88.7,P
91.0,0,5.92271e-05,2.0,88.7,N
91.0,0,5.72925e-05,2.0,88.7,P
90.0,0,5.69762e-05,2.0,88.7,P
88.0,0,5.66617e-05,1.8,87.8,N
125.0,120,5.27279e-05,7.4,80.6,P
84.0,0,6.08891e-05,1.6,86.9,P
79.0,0,5.39083e-05,1.5,83.3,N
95.0,0,5.69762e-05,2.1,89.6,P
93.0,0,5.98864e-05,1.9,91.4,P
96.0,0,6.39991e-05,2.1,89.6,P
91.0,0,5.98864e-05,1.8,90.5,P
84.0,0,6.15669e-05,1.7,89.6,P
86.0,0,5.6349e-05,1.7,87.8,N
116.0,103,5.45083e-05,4.3,80.6,N
96.0,0,5.76104e-05,2.1,88.7,N
101.0,0,5.72925e-05,2.5,89.6,N
95.0,0,5.66617e-05,2.2,88.7,P
93.0,0,5.5421000000000004e-05,2.1,86.9,N
89.0,0,5.82517e-05,1.8,90.5,P
95.0,0,5.66617e-05,2.1,88.7,N
92.0,28,5.66617e-05,2.0,88.7,N
93.0,0,5.60379e-05,2.1,88.7,P
84.0,0,5.69762e-05,1.5,88.7,P
